symbol,price,change,last update
MMM,182.87,+1.17,2017-02-16 09:11:17
ABT,43.97,-0.02,2017-02-16 09:12:11
ABBV,61.51,-0.11,2017-02-16 09:12:12
ACN,120.37,+0.44,2017-02-16 09:12:02
ATVI,45.23,-0.25,2017-02-16 09:12:08
AYI,218.45,+2.08,2017-02-16 09:11:01
ADBE,118.68,-0.05,2017-02-16 09:12:03
AAP,161.65,-2.24,2017-02-16 09:11:50
AES,11.56,0.00,2017-02-16 09:12:19
AET,129.50,+1.09,2017-02-16 09:12:17
AMG,168.01,-2.33,2017-02-16 09:11:12
AFL,71.05,+0.06,2017-02-16 09:12:00
A,50.95,-0.67,2017-02-16 09:12:05
APD,141.75,-0.65,2017-02-16 09:10:16
AKAM,64.10,+0.20,2017-02-16 09:12:15
ALK,96.03,-0.97,2017-02-16 09:11:51
ALB,92.29,-0.42,2017-02-16 09:12:24
AA,36.76,-1.10,2017-02-16 09:11:56
ALXN,131.85,-0.15,2017-02-16 09:12:10
ALLE,73.02,+1.22,2017-02-16 09:12:27
AGN,247.38,-1.79,2017-02-16 09:10:47
ADS,230.90,+0.28,2017-02-16 09:11:14
LNT,37.79,+0.25,2017-02-16 09:12:20
ALL,80.51,-0.20,2017-02-16 09:11:29
GOOGL,841.54,+4.22,2017-02-16 09:11:12
GOOG,823.34,+4.36,2017-02-16 09:12:29
MO,72.42,+0.25,2017-02-16 09:12:16
AMZN,842.42,-0.28,2017-02-16 09:12:18
AEE,52.74,+0.21,2017-02-16 09:12:19
AAL,46.86,-0.68,2017-02-16 09:12:30
AEP,63.63,+0.35,2017-02-16 09:12:22
AXP,79.29,-0.29,2017-02-16 09:12:14
AIG,62.27,+1.43,2017-02-16 09:12:30
AMT,107.55,+0.44,2017-02-16 09:11:51
AWK,73.31,+0.33,2017-02-16 09:12:25
AMP,128.77,-0.14,2017-02-16 09:12:02
ABC,90.02,-1.13,2017-02-16 09:12:28
AME,54.10,-0.19,2017-02-16 09:11:03
AMGN,171.62,-0.17,2017-02-16 09:12:37
APC,66.64,-0.87,2017-02-16 09:12:37
ADI,81.75,+0.15,2017-02-16 09:12:38
ANTM,163.92,+1.22,2017-02-16 09:12:14
AON,116.83,+0.27,2017-02-16 09:12:19
APA,55.33,-0.26,2017-02-16 09:12:24
AIV,45.14,+0.42,2017-02-16 09:12:42
AAPL,135.33,-0.18,2017-02-16 09:12:46
AMAT,35.17,-0.33,2017-02-16 09:12:41
ADM,44.10,-0.37,2017-02-16 09:12:49
AJG,56.25,+0.44,2017-02-16 09:11:59
AIZ,96.16,-0.08,2017-02-16 09:11:12
T,41.12,+0.01,2017-02-16 09:12:49
ADSK,84.72,+0.36,2017-02-16 09:12:52
ADP,99.65,0.00,2017-02-16 09:12:51
AN,46.86,-0.56,2017-02-16 09:11:15
AZO,737.00,-2.03,2017-02-16 09:09:53
AVGO,206.99,+1.00,2017-02-16 09:12:51
AVB,178.74,+0.90,2017-02-16 09:12:18
AVY,80.17,+0.64,2017-02-16 09:12:24
BHI,61.34,-0.14,2017-02-16 09:12:25
BLL,73.32,+0.22,2017-02-16 09:12:50
BAC,24.36,-0.20,2017-02-16 09:12:52
BCR,241.62,-0.63,2017-02-16 09:12:04
BAX,49.33,-0.10,2017-02-16 09:12:41
BBT,47.70,-0.54,2017-02-16 09:12:49
BDX,179.94,-0.13,2017-02-16 09:12:02
BBBY,40.92,-0.36,2017-02-16 09:12:13
BBY,45.42,-0.52,2017-02-16 09:12:51
BIIB,290.17,-2.47,2017-02-16 09:12:53
BLK,391.94,-1.35,2017-02-16 09:11:12
HRB,20.58,-0.22,2017-02-16 09:12:53
BA,169.78,+0.48,2017-02-16 09:12:50
BWA,41.27,-0.65,2017-02-16 09:12:52
BXP,136.55,+0.58,2017-02-16 09:11:25
BSX,25.27,-0.13,2017-02-16 09:12:48
BMY,54.20,-0.83,2017-02-16 09:12:53
CHRW,77.78,-0.10,2017-02-16 09:13:02
CA,31.79,+0.10,2017-02-16 09:12:55
COG,23.14,-0.76,2017-02-16 09:12:59
CPB,62.36,-1.08,2017-02-16 09:13:06
COF,90.02,-0.90,2017-02-16 09:13:12
CAH,80.11,-0.34,2017-02-16 09:12:53
KMX,68.64,+0.04,2017-02-16 09:13:04
CCL,55.80,-0.66,2017-02-16 09:13:11
CAT,98.10,-0.91,2017-02-16 09:13:03
CBG,34.93,-0.50,2017-02-16 09:13:12
CBS,65.06,-0.19,2017-02-16 09:12:11
CELG,118.79,-1.68,2017-02-16 09:13:11
CNC,70.04,-1.42,2017-02-16 09:13:12
CNP,26.26,+0.20,2017-02-16 09:11:18
CTL,24.25,-0.15,2017-02-16 09:12:24
CERN,55.37,+0.30,2017-02-16 09:13:07
CF,34.08,-0.36,2017-02-16 09:12:54
SCHW,41.33,-0.83,2017-02-16 09:13:17
CHK,6.11,-0.20,2017-02-16 09:13:00
CVX,110.70,-1.87,2017-02-16 09:13:21
CMG,424.34,+1.00,2017-02-16 09:12:17
CB,135.20,+0.74,2017-02-16 09:13:21
CHD,48.66,-0.12,2017-02-16 09:13:09
CI,145.36,-1.23,2017-02-16 09:12:04
XEC,132.80,-1.56,2017-02-16 09:13:21
CINF,72.85,+0.03,2017-02-16 09:12:19
CTAS,118.82,+0.41,2017-02-16 09:13:02
CSCO,33.74,+0.92,2017-02-16 09:13:23
C,60.05,-0.44,2017-02-16 09:13:22
CFG,38.08,-0.28,2017-02-16 09:13:07
CTXS,79.73,-0.43,2017-02-16 09:13:05
CME,121.39,-0.72,2017-02-16 09:13:23
CMS,43.06,+0.29,2017-02-16 09:13:21
COH,37.95,-0.20,2017-02-16 09:13:17
CTSH,57.90,-0.24,2017-02-16 09:13:21
CL,68.50,-0.12,2017-02-16 09:13:21
CMCSA,75.96,-0.64,2017-02-16 09:13:22
CMA,72.22,-1.03,2017-02-16 09:13:21
CAG,39.78,-0.17,2017-02-16 09:13:20
CXO,140.49,-2.33,2017-02-16 09:12:05
COP,48.40,-0.94,2017-02-16 09:12:59
ED,73.83,+0.14,2017-02-16 09:13:32
STZ,157.40,+1.19,2017-02-16 09:13:00
GLW,27.61,+0.25,2017-02-16 09:12:42
COST,175.62,+0.62,2017-02-16 09:13:35
CCI,90.53,+0.49,2017-02-16 09:13:21
CSRA,30.33,-0.02,2017-02-16 09:13:21
CSX,47.21,-0.13,2017-02-16 09:13:30
CMI,151.66,-0.28,2017-02-16 09:13:37
CVS,79.62,+0.21,2017-02-16 09:12:57
DHI,30.46,-0.30,2017-02-16 09:13:33
DHR,83.96,-0.65,2017-02-16 09:12:57
DRI,75.77,+0.03,2017-02-16 09:12:21
DVA,64.72,-0.13,2017-02-16 09:13:30
DE,108.60,-0.52,2017-02-16 09:13:30
DLPH,75.09,-1.16,2017-02-16 09:13:30
DAL,50.78,-0.39,2017-02-16 09:13:39
XRAY,60.46,+0.08,2017-02-16 09:13:37
DVN,44.17,-0.06,2017-02-16 09:13:41
DO,17.43,-0.20,2017-02-16 09:13:37
DLR,103.98,-0.45,2017-02-16 09:12:46
DFS,70.44,-0.48,2017-02-16 09:13:22
DISCA,28.68,+0.19,2017-02-16 09:12:39
DISCK,27.99,+0.10,2017-02-16 09:13:24
DG,76.08,-1.30,2017-02-16 09:12:49
DLTR,78.21,-0.53,2017-02-16 09:13:09
D,73.10,+0.72,2017-02-16 09:13:43
DOV,79.63,-0.52,2017-02-16 09:11:23
DOW,60.98,-0.12,2017-02-16 09:12:49
DPS,94.04,+1.22,2017-02-16 09:13:45
DTE,98.75,+0.79,2017-02-16 09:13:44
DD,77.64,-0.30,2017-02-16 09:13:22
DUK,78.93,+2.15,2017-02-16 09:13:47
DNB,106.14,-0.24,2017-02-16 09:13:26
ETFC,37.06,-0.44,2017-02-16 09:13:49
EMN,80.72,-0.16,2017-02-16 09:13:21
ETN,71.47,-0.62,2017-02-16 09:12:53
EBAY,33.68,-0.33,2017-02-16 09:13:49
ECL,122.86,-0.54,2017-02-16 09:13:47
EIX,75.64,+0.66,2017-02-16 09:13:44
EW,89.78,-0.53,2017-02-16 09:13:51
EA,87.67,-0.28,2017-02-16 09:13:50
EMR,62.53,-1.20,2017-02-16 09:13:21
ENDP,13.34,-0.31,2017-02-16 09:13:52
ETR,72.40,+1.66,2017-02-16 09:13:48
EOG,100.09,-0.66,2017-02-16 09:13:37
EQT,62.80,-1.24,2017-02-16 09:13:34
EFX,129.84,-0.22,2017-02-16 09:13:27
EQIX,372.78,-7.98,2017-02-16 09:13:49
EQR,61.96,+0.31,2017-02-16 09:12:02
ESS,227.43,+1.97,2017-02-16 09:12:41
EL,83.00,-0.54,2017-02-16 09:13:01
ES,56.07,+0.31,2017-02-16 09:13:45
EXC,35.32,+0.10,2017-02-16 09:13:50
EXPE,119.94,-0.94,2017-02-16 09:13:12
EXPD,55.92,-0.17,2017-02-16 09:13:23
ESRX,68.84,-0.62,2017-02-16 09:13:37
EXR,74.88,+1.34,2017-02-16 09:12:09
XOM,82.50,-0.66,2017-02-16 09:13:39
FFIV,142.26,-0.87,2017-02-16 09:13:35
FB,133.44,0.00,2017-02-16 09:13:57
FAST,50.27,-0.19,2017-02-16 09:11:48
FRT,140.53,+0.71,2017-02-16 09:08:46
FDX,192.63,-1.94,2017-02-16 09:13:24
FIS,81.52,+0.12,2017-02-16 09:12:46
FITB,27.50,-0.06,2017-02-16 09:13:43
FSLR,34.27,-0.46,2017-02-16 09:13:55
FE,30.61,+0.22,2017-02-16 09:13:45
FISV,111.39,+0.31,2017-02-16 09:14:04
FLIR,36.45,-0.48,2017-02-16 09:13:56
FLS,50.70,-0.48,2017-02-16 09:13:36
FLR,57.26,-0.90,2017-02-16 09:13:48
FMC,57.75,-0.14,2017-02-16 09:12:23
FTI,32.44,-0.22,2017-02-16 09:11:41
FL,70.50,+0.16,2017-02-16 09:13:49
F,12.51,-0.12,2017-02-16 09:12:14
FTV,57.07,-0.50,2017-02-16 09:13:21
FBHS,57.01,-0.39,2017-02-16 09:14:03
BEN,42.18,-0.53,2017-02-16 09:13:18
FCX,15.04,-0.31,2017-02-16 09:14:09
FTR,3.28,-0.02,2017-02-16 09:14:09
GPS,24.22,-0.17,2017-02-16 09:14:04
GRMN,50.68,-0.14,2017-02-16 09:13:43
GD,187.93,-0.04,2017-02-16 09:13:20
GE,30.40,+0.05,2017-02-16 09:13:59
GGP,25.05,+0.03,2017-02-16 09:14:08
GIS,61.62,-1.57,2017-02-16 09:13:51
GM,36.90,-0.18,2017-02-16 09:12:49
GPC,98.85,-1.20,2017-02-16 09:14:04
GILD,70.33,+0.53,2017-02-16 09:14:06
GPN,77.69,-1.26,2017-02-16 09:10:25
GS,248.91,-1.67,2017-02-16 09:13:26
GT,35.95,-0.22,2017-02-16 09:14:03
GWW,253.97,+0.77,2017-02-16 09:12:03
HAL,54.45,-1.28,2017-02-16 09:14:09
